Group,Department,Subjects
資訊,資訊工程學,計算機組織、作業系統、程式語言、程式設計、資料庫系統、資料結構、數位電路實驗、演算法、工程數學等
資訊,資訊科學,機率論、數位邏輯設計、離散數學、線性代數、作業系統、演算法、系統分析與設計、物件導向程式設計、資料結構等
資訊,資訊管理學,管理學、經濟學、計算機概論、管理資訊系統、系統分析與設計、統計學、作業系統、資料庫系統、行銷管理、電子商務、程式設計等
資訊,遊戲與多媒體應用學,多媒體概論、互動遊戲設計概論、電腦繪圖、程式設計、3D電腦動畫、商業軟體應用、數位攝影、色彩學、視覺化行動程式開發等
工程,電機工程學,電路學、電磁學、電機機械、電子學、信號與系統、工程數學、計算機概論等
工程,機械工程學,機械工程、機電系統、工程數學、動力學、機動學、機械設計、熱傳學等
工程,土木工程學,應用力學、工程數學、材料力學、動力學、結構學、基礎工程學等
工程,材料工程學,材料科學導論、材料工程力學、材料數學、量子物理、材料表面工程等
工程,化學工程學,物理化學、有機化學、化學反應工程、單元操作、質能守衡、程序控制等
工程,工業工程學,工程管理、作業研究、供應鏈管理、人因工程、品質工程、程式設計等
工程,電子工程學,電路學、電磁學、電子學、電子儀器學、信號與系統、工程數學、計算機概論等
工程,通訊工程學,訊號與系統、數位通訊、電路學、電磁學、電子學、程式設計、工程數學、網路概論等
工程,光電工程學,光電工程、光子學、電路學、電磁學、電子學、信號與系統、材料光學等
數理化,數學,線性代數、代數學、幾何學、高等微積分、機率統計、微分方程、數值分析等
數理化,物理學,普通物理、理論力學、量子物理、光學、電磁學、熱物理、應用數學等
數理化,化學,普通化學、有機化學、無機化學、物理化學、分析化學、綠色化學等
數理化,統計學,微積分、機率論、高等統計學、數理統計、迴歸分析、抽樣調查、線性代數等
醫藥衛生,中西醫學,醫學概論、解剖學、生理學、病理學、藥理學、臨床醫學、內科學、外科學等
醫藥衛生,口腔醫學,牙體形態學、牙科器材學、口腔解剖學、口腔病理學、牙體復形學、牙科矯正學等
醫藥衛生,藥學,藥學導論、藥劑學、有機化學、藥物化學、生理學、病理學、藥物治療學等
醫藥衛生,護理學,基本護理學、成人護理學、兒科護理學、婦嬰護理學、解剖學、生理學、藥理學等
醫藥衛生,公共衛生學,公共衛生導論、生理學、生物統計、心理學、流行病學、職業衛生、傳染病防治等
醫藥衛生,營養學,食品科學概論、營養學、微生物學、食品化學、有機化學、分析化學、衛生法規等
醫藥衛生,醫學技術與檢驗學,臨床放射診斷技術學、醫用磁振學、超音波技術學、生物化學、病理學、解剖學、生理學等
